LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,C-ITS,LENGTH,UPDATEDATE,REMARK,HIST_TYPE,HISTREMARK
2320004002,2320002002,2320002004,1,105,003,78,금포로,0,0,0,50,0,0,0,0,227.378967640718,20250512,,LINK0003,
1690023713,1690170900,1690253500,1,104,000,-,삼산북로,0,0,0,40,0,0,0,0,450.545834245924,20250512,,LINK1007,1690023701
1690068003,1690025502,1690025507,1,107,000,-,어류정길,0,0,0,30,0,0,0,0,44.855540939377,20250512,,LINK0001,
2320095701,2320034803,2320034802,1,107,000,-,김포대로2244번길,0,0,0,30,0,0,0,0,11.669656036041,20250512,,LINK0001,
2320235100,2320086601,2320087603,2,107,000,-,김포한강11로,0,0,0,30,0,0,0,0,481.845924342486,20250512,,LINK0003,
1690030301,1690005303,1690011607,1,106,000,301,전망대로,0,0,0,50,0,0,0,0,346.290612851303,20250512,,LINK0003,
2320015527,2320240500,2320007215,1,105,000,78,금포로,0,0,0,60,0,0,0,0,14.165583719863,20250512,,LINK1007,2320015503
2320338203,2320123314,2320123303,2,107,000,-,마송1로,0,0,0,60,0,0,0,0,231.710838069693,20250512,,LINK0003,
2320489301,2320175102,2320175105,2,107,000,-,황금로,0,0,0,60,0,0,0,0,12.084478750560,20250512,,LINK0001,
2320502909,2320312200,2320312100,1,107,000,-,가현로,0,0,0,50,0,0,0,0,64.419757664959,20250512,,LINK1007,2320502900
2320267801,2320095702,2320095701,1,107,000,-,모담공원로,0,0,0,50,0,0,0,0,10.006282561602,20250512,,LINK0001,
1690049301,1690019304,1690019303,1,104,000,-,강화산단로,0,0,0,30,0,0,0,0,12.000017054544,20250512,,LINK0001,
2320079902,2320011702,2320011701,1,107,000,-,신곡로,0,0,0,60,0,0,0,0,13.429349638923,20250512,,LINK0001,
1690053700,1690020703,1690019904,1,104,000,-,-,0,0,0,30,0,0,0,0,128.044308495759,20250512,도로명없음,LINK0003,
2320159201,2320063508,2320063507,2,107,000,-,김포한강8로,0,0,0,40,0,0,0,0,11.999814847822,20250512,,LINK0001,
2320175001,2320068201,2320068204,1,107,000,-,김포한강8로194번길,0,0,0,10,0,0,0,0,9.999899075206,20250512,,LINK0001,
2320132702,2320050503,2320050502,1,107,000,-,검암1로,0,0,0,50,0,0,0,0,12.002810363004,20250512,,LINK0001,
